1.2,广州-番禺区 | 3-4年经验 | 招若干人,Python开发工程师
1.2,深圳-南山区 | 3-4年经验 | 大专 | 招5人,Python 中级工程师
1.3,上海-静安区 | 3-4年经验 | 本科 | 招若干人,python爬虫工程师
2.0,深圳-福田区 | 3-4年经验 | 本科 | 招若干人,python开发
1.2,上海-宝山区 | 2年经验 | 本科 | 招1人,Python开发工程师
0.9,贵阳 | 1年经验 | 大专 | 招2人,Python开发工程师
1.2,深圳-龙岗区 | 3-4年经验 | 本科 | 招若干人,Python开发工程师
1.4,深圳-宝安区 | 2年经验 | 大专 | 招1人,Java/Python 开发工程师
0.9,南京-秦淮区 | 1年经验 | 本科 | 招1人,Python开发工程师
1.1,武汉-东湖新技术产业开发区 | 2年经验 | 本科 | 招3人,Python开发工程师
1.9,深圳-南山区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.0,上海-浦东新区 | 2年经验 | 大专 | 招1人,Python开发工程师
0.8,杭州-余杭区 | 1年经验 | 本科 | 招1人,Python开发工程师
1.3,南通-崇川区 | 3-4年经验 | 本科 | 招1人,python开发工程师
1.4,北京-大兴区 | 2年经验 | 本科 | 招若干人,Python开发工程师
1.2,上海-浦东新区 | 2年经验 | 本科 | 招1人,Python开发工程师
0.9,长沙-岳麓区 | 3-4年经验 | 本科 | 招1人,Python/爬虫数据工程师
0.9,武汉-洪山区 | 2年经验 | 本科 | 招1人,Python开发工程师
1.2,上海-浦东新区 | 3-4年经验 | 本科 | 招2人,Python Web开发工程师
0.7,成都-郫都区 | 2年经验 | 本科 | 招2人,python研发工程师
1.4,西安-国家民用航天产业基地 | 1年经验 | 本科 | 招若干人,Python开发工程师
2.7,上海 | 5-7年经验 | 本科 | 招若干人,Python开发经理
1.1,武汉-东湖新技术产业开发区 | 3-4年经验 | 本科 | 招1人,Python高级开发工程师
1.7,上海-黄浦区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.0,苏州-高新区 | 3-4年经验 | 大专 | 招若干人,Python开发工程师
1.5,北京 | 无需经验 | 本科 | 招若干人,Python/Django开发工程师
1.0,广州-天河区 | 2年经验 | 本科 | 招1人,Python工程师
0.9,重庆-渝北区 | 3-4年经验 | 大专 | 招1人,Python开发工程师
1.2,上海-徐汇区 | 2年经验 | 本科 | 招1人,Python开发工程师
2.1,上海-浦东新区 | 1年经验 | 本科 | 招1人,Python高级开发工程师
1.7,上海-松江区 | 3-4年经验 | 大专 | 招2人,Python开发工程师
1.9,珠海-香洲区 | 3-4年经验 | 招2人,Python后端开发工程师
1.8,上海-浦东新区 | 5-7年经验 | 本科 | 招1人,高级/资深开发（python）
0.8,苏州-吴中区 | 1年经验 | 大专 | 招若干人,Python/Django开发工程师
1.2,上海 | 2年经验 | 本科 | 招2人,Python开发工程师
1.2,上海 | 2年经验 | 本科 | 招1人,Python开发工程师(J10169)
1.2,南京 | 1年经验 | 大专 | 招2人,Python开发工程师（非外包）
0.9,天津 | 2年经验 | 本科 | 招1人,Python开发工程师
1.0,广州-黄埔区 | 2年经验 | 大专 | 招1人,Python后端开发工程师
1.2,西安-雁塔区 | 3-4年经验 | 本科 | 招5人,Python高级开发工程师
1.1,深圳-罗湖区 | 2年经验 | 本科 | 招1人,Python工程师
1.4,深圳-南山区 | 3-4年经验 | 大专 | 招5人,python开发1
2.3,苏州-相城区 | 5-7年经验 | 本科 | 招若干人,资深Python开发工程师
1.0,珠海 | 2年经验 | 大专 | 招2人,Python研发工程师
1.7,深圳-福田区 | 3-4年经验 | 本科 | 招若干人,Python高级开发工程师
1.1,深圳-龙华区 | 5-7年经验 | 本科 | 招1人,Python开发工程师
1.1,北京-朝阳区 | 1年经验 | 本科 | 招1人,python分析师（菱歌数字科技）
1.2,深圳-南山区 | 2年经验 | 大专 | 招2人,Python开发工程师
1.2,郑州-高新区 | 3-4年经验 | 本科 | 招5人,Python开发工程师
1.2,深圳-南山区 | 3-4年经验 | 本科 | 招1人,Python开发工程师
1.5,上海-浦东新区 | 5-7年经验 | 大专 | 招3人,Python开发工程师
1.2,北京 | 2年经验 | 本科 | 招若干人,Python开发工程师
0.8,厦门 | 无需经验 | 本科 | 招1人,Python后端工程师
1.4,北京-朝阳区 | 3-4年经验 | 本科 | 招1人,Python高级开发工程师
1.2,上海-闵行区 | 2年经验 | 本科 | 招1人,Python开发工程师
3.6,上海-长宁区 | 3-4年经验 | 本科 | 招5人,高级软件工程师 Golang/Python
1.0,苏州-高新区 | 2年经验 | 大专 | 招1人,Python开发工程师
1.9,深圳-南山区 | 5-7年经验 | 本科 | 招若干人,Python开发工程师
1.4,南京-秦淮区 | 3-4年经验 | 本科 | 招2人,Python开发工程师
1.7,苏州-工业园区 | 无需经验 | 本科 | 招若干人,Python高级开发工程师
1.8,异地招聘 | 1年经验 | 本科 | 招1人,Python开发工程师
1.2,北京-海淀区 | 2年经验 | 本科 | 招若干人,Python开发工程师
1.2,昆山 | 3-4年经验 | 本科 | 招1人,Python全栈工程师（中级工程师）
1.6,上海-杨浦区 | 2年经验 | 本科 | 招1人,Python开发工程师
0.9,成都-锦江区 | 1年经验 | 大专 | 招若干人,知名医药医疗器械公司 Python开发工程师
